iter	MultiClass
0	2.734326135
1	2.514116584
2	2.331712881
3	2.157155181
4	2.007906941
5	1.860470096
6	1.738434596
7	1.63011968
8	1.539466717
9	1.445995403
10	1.369838553
11	1.293946706
12	1.230377681
13	1.176567661
14	1.125717141
15	1.074684298
16	1.024518266
17	0.981801429
18	0.955115613
19	0.9172584213
20	0.8818910841
21	0.8469050105
22	0.8111261435
23	0.7769006013
24	0.7511999324
25	0.7240063793
26	0.698969133
27	0.6753536023
28	0.6502904963
29	0.6286855489
30	0.6068847239
31	0.5849983052
32	0.5657737103
33	0.5487884283
34	0.5307327216
35	0.5145644443
36	0.5001353175
37	0.4857734661
38	0.4731552441
39	0.4604885336
40	0.4476125658
41	0.4348025412
42	0.4218596436
43	0.4087307432
44	0.3967989712
45	0.3861878382
46	0.3749878906
47	0.3649474117
48	0.3564483255
49	0.3488844392
50	0.3391557104
51	0.3306126323
52	0.3236088612
53	0.3166696477
54	0.3088866383
55	0.3031418861
56	0.2961703846
57	0.2900497941
58	0.2838308529
59	0.2771001813
60	0.270946083
61	0.2651423614
62	0.2602335351
63	0.2558335611
64	0.2514499991
65	0.2459404952
66	0.2400497073
67	0.2346167587
68	0.2303563383
69	0.2261960994
70	0.2224006274
71	0.2188086596
72	0.2146719008
73	0.2102977258
74	0.2052856486
75	0.2019600276
76	0.1981077976
77	0.1948895562
78	0.1918758483
79	0.1882022668
80	0.1844592112
81	0.1814439693
82	0.1787151097
83	0.1755353615
84	0.1725155654
85	0.169964183
86	0.1677162054
87	0.1644099024
88	0.1622424811
89	0.1598603699
90	0.1573748502
91	0.155397459
92	0.1527787506
93	0.1504688398
94	0.1486503514
95	0.14631222
96	0.1444365802
97	0.1426441109
98	0.1407513638
99	0.1388241976
100	0.1363823331
101	0.1348173093
102	0.1324846554
103	0.1306390824
104	0.1290581362
105	0.1273946296
106	0.1253910365
107	0.1237031075
108	0.1221597672
109	0.1206743859
110	0.119435909
111	0.1177828277
112	0.1164777358
113	0.1144186799
114	0.1131090618
115	0.1117416658
116	0.1105021993
117	0.109280437
118	0.1084244915
119	0.1074342868
120	0.1062738211
121	0.1050828816
122	0.1041411748
123	0.1032367846
124	0.1020552076
125	0.1008754522
126	0.09947979925
127	0.09821716025
128	0.09735060891
129	0.09640836663
130	0.09539258638
131	0.09465319622
132	0.09343363383
133	0.09234666868
134	0.09153900234
135	0.09072462476
136	0.08977940241
137	0.08897194475
138	0.08810296983
139	0.08720404678
140	0.0862673379
141	0.08544487442
142	0.0844117564
143	0.08350740962
144	0.0828704921
145	0.08227907408
146	0.08148995961
147	0.08086299341
148	0.08034146457
149	0.07960162003
150	0.07902161004
151	0.07817797187
152	0.07754477693
153	0.0768471811
154	0.07619039268
155	0.07541581189
156	0.07496608822
157	0.07439798769
158	0.07395189964
159	0.07339095763
160	0.07266126297
161	0.07208672648
162	0.07154046995
163	0.0708060977
164	0.07025209053
165	0.06970467577
166	0.06919122088
167	0.06873175258
168	0.06823715459
169	0.06773791082
170	0.06730404453
171	0.06692689358
172	0.06624639715
173	0.06570844767
174	0.06520832015
175	0.06472533656
176	0.06422805319
177	0.06376416796
178	0.0631313246
179	0.06274474685
180	0.06241558604
181	0.06199428172
182	0.06135480447
183	0.06093711079
184	0.06058954936
185	0.06020932214
186	0.05985064559
187	0.0595007762
188	0.0591678108
189	0.05876459771
190	0.05837590947
191	0.05788682988
192	0.05749195729
193	0.05714388928
194	0.05672337926
195	0.05622327214
196	0.05574379288
197	0.05528006178
198	0.05491227797
199	0.0545599993
200	0.05398592383
201	0.05349812453
202	0.05299213501
203	0.05261017602
204	0.05240843898
205	0.05206447194
206	0.05184896675
207	0.05154258372
208	0.05131246882
209	0.05088848991
210	0.05067691212
211	0.05044399968
212	0.05021078847
213	0.04976382036
214	0.04947663952
215	0.04914708444
216	0.04893076149
217	0.04867879371
218	0.04835794594
219	0.04801542988
220	0.04771646858
221	0.04752211099
222	0.04727030153
223	0.04695624719
224	0.04674536903
225	0.0464176237
226	0.04606992516
227	0.04581405299
228	0.04563706792
229	0.04535763933
230	0.04507733283
231	0.04483640758
232	0.04465591688
233	0.04442132577
234	0.04425332779
235	0.04410008848
236	0.04386583998
237	0.04371759212
238	0.04349305409
239	0.04329543318
240	0.04308013068
241	0.04288254313
242	0.04265533529
243	0.04243711237
244	0.04220085968
245	0.04198718937
246	0.04166420682
247	0.04146988113
248	0.04133314587
249	0.04116202265
250	0.04097865479
251	0.0406899028
252	0.04051829247
253	0.04036411227
254	0.0401770755
255	0.03998349998
256	0.0397740018
257	0.03960083785
258	0.0394316484
259	0.03930565484
260	0.03914169804
261	0.0389173897
262	0.03865484871
263	0.03847731773
264	0.03831367715
265	0.03809234403
