Model,Accuracy,F1 Score
Random Forest,0.996969696969697,0.9969663262210536
XGBoost,0.996969696969697,0.9969663262210536
LightGBM,0.9939393939393939,0.9939326524421075
CatBoost,0.9939393939393939,0.9939326524421075
TabNet,0.7242424242424242,0.6754822984266968
Ensemble,0.996969696969697,0.9969663262210536
